Network,N_Nodes,Density,Rigidity,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,Absolute_Error
bn_n60_w6_medium_fuzzy.bif,60,medium,fuzzy,1.0,X0,1,0.9613024859889966,0.028457164764404297,0.9600285714285715,8.178775510204142e-06,12.030798268318176,0.0012739145604251378
bn_n50_w2_sparse_det.bif,50,sparse,det,1.0,X1,1,1.0,0.018938302993774414,1.0,0.0,7.450967836380005,0.0
bn_n20_w2_sparse_det.bif,20,sparse,det,0.5,X16,1,0.5130568454266381,0.006665468215942383,0.5153000000000001,5.960999999999984e-05,3.2168092727661133,0.002243154573361994
bn_n20_w2_sparse_det.bif,20,sparse,det,0.7,X16,1,0.6734420035057109,0.008452653884887695,0.6735571428571429,2.50508163265308e-05,3.2027463912963867,0.00011513935143192544
bn_n20_w2_sparse_det.bif,20,sparse,det,0.8,X16,1,0.8308141609504367,0.007647275924682617,0.8280142857142856,2.9838571428571322e-05,3.1941860198974608,0.002799875236151106
bn_n20_w2_sparse_det.bif,20,sparse,det,0.9,X16,1,0.9018743231885014,0.007327079772949219,0.9007571428571429,1.4367551020408051e-05,3.1974513292312623,0.001117180331358436
bn_n20_w2_sparse_det.bif,20,sparse,det,1.0,X16,1,1.0,0.0070018768310546875,1.0,0.0,3.2140333890914916,0.0
bn_n50_w6_medium_fuzzy.bif,50,medium,fuzzy,0.5,X43,1,0.5075026842276434,0.020078182220458984,0.5117714285714285,8.520081632653042e-05,9.529882097244263,0.0042687443437851025
bn_n50_w6_medium_fuzzy.bif,50,medium,fuzzy,0.6,X43,1,0.5982785964062605,0.020488500595092773,0.5955285714285714,0.0001422736734693876,9.769265747070312,0.0027500249776890584
bn_n50_w6_medium_fuzzy.bif,50,medium,fuzzy,0.7,X43,1,0.6871556169809832,0.021001577377319336,0.6863857142857144,0.00012669000000000032,9.62698266506195,0.000769902695268776
bn_n50_w6_medium_fuzzy.bif,50,medium,fuzzy,0.8,X43,1,0.7663402382276955,0.021209239959716797,0.7653428571428571,3.567836734693889e-05,9.58565456867218,0.000997381084838378
bn_n50_w6_medium_fuzzy.bif,50,medium,fuzzy,0.9,X43,1,0.8937724165997342,0.020473241806030273,0.8987999999999999,4.0992653061224744e-05,9.693555569648742,0.005027583400265767
bn_n50_w6_medium_fuzzy.bif,50,medium,fuzzy,1.0,X43,1,0.9999999999999999,0.02071356773376465,1.0,0.0,9.647341394424439,1.1102230246251565e-16
bn_n50_w6_medium_det.bif,50,medium,det,0.5,X16,1,0.526100699107035,0.02730703353881836,0.9429000000000001,0.013395641020408166,9.519783782958985,0.416799300892965
bn_n50_w6_medium_det.bif,50,medium,det,0.6,X16,1,0.5616805460768636,0.025144577026367188,0.8681142857142856,0.07160979918367347,9.72047438621521,0.30643373963742204
bn_n50_w6_medium_det.bif,50,medium,det,0.7,X16,1,0.7196940432845349,0.024324655532836914,0.7133285714285714,4.009816326530596e-05,9.58620502948761,0.006365471855963478
bn_n50_w6_medium_det.bif,50,medium,det,0.8,X16,1,0.8484327551487466,0.025745153427124023,0.9678857142857143,0.009281946122448979,9.632953643798828,0.11945295913696774
bn_n50_w6_medium_det.bif,50,medium,det,0.9,X16,1,0.8506737548977716,0.026674270629882812,0.9736,0.00627264,9.61238169670105,0.12292624510222838
bn_n50_w6_medium_det.bif,50,medium,det,1.0,X16,1,1.0,0.023336410522460938,1.0,0.0,9.75867018699646,0.0
bn_n60_w2_sparse_fuzzy.bif,60,sparse,fuzzy,0.5,X50,1,0.4950227680979704,0.02345108985900879,0.4951714285714286,4.223183673469367e-05,9.693347024917603,0.00014866047345818423
bn_n60_w2_sparse_fuzzy.bif,60,sparse,fuzzy,0.6,X50,1,0.6300589101974123,0.02110886573791504,0.6298571428571429,5.439183673469396e-05,9.694858956336976,0.0002017673402694431
bn_n60_w2_sparse_fuzzy.bif,60,sparse,fuzzy,0.7,X50,1,0.6543828766703874,0.02053976058959961,0.6491571428571429,0.00020814061224489784,9.505669474601746,0.0052257338132445375
bn_n60_w2_sparse_fuzzy.bif,60,sparse,fuzzy,1.0,X50,1,1.0,0.0218505859375,1.0,0.0,9.422262525558471,0.0
bn_n60_w12_dense_fuzzy.bif,60,dense,fuzzy,0.5,X10,1,0.5279235525134448,0.035752296447753906,0.5315285714285715,7.27757142857139e-05,14.60070960521698,0.0036050189151266565
bn_n60_w12_dense_fuzzy.bif,60,dense,fuzzy,0.6,X10,1,0.5978198470088889,0.038030385971069336,0.5927428571428571,0.00014576653061224465,14.708776092529297,0.005076989866031778
bn_n60_w12_dense_fuzzy.bif,60,dense,fuzzy,0.7,X10,1,0.662891562808409,0.037316083908081055,0.6638714285714286,5.463857142857173e-05,14.484186935424805,0.0009798657630195606
bn_n60_w12_dense_fuzzy.bif,60,dense,fuzzy,0.8,X10,1,0.7694977111330906,0.03578472137451172,0.7716428571428571,8.622551020408156e-05,14.569097876548767,0.002145146009766452
bn_n60_w12_dense_fuzzy.bif,60,dense,fuzzy,0.9,X10,1,0.8563663607584187,0.03983187675476074,0.8581142857142858,5.411346938775496e-05,14.776137137413025,0.001747924955867175
bn_n60_w12_dense_fuzzy.bif,60,dense,fuzzy,1.0,X10,1,0.993464012286688,0.03662562370300293,0.9935571428571428,1.177346938775501e-06,14.330709457397461,9.313057045479134e-05
bn_n20_w12_dense_det.bif,20,dense,det,0.5,X10,1,0.5027785041444005,0.011635541915893555,0.46547142857142854,0.01692552265306122,5.177682995796204,0.03730707557297197
bn_n20_w12_dense_det.bif,20,dense,det,0.6,X10,1,0.6298936480060954,0.011028528213500977,0.6295142857142857,5.7204897959183725e-05,5.198203802108765,0.00037936229180968173
bn_n20_w12_dense_det.bif,20,dense,det,0.7,X10,1,0.69195170692436,0.011225461959838867,0.6833285714285714,0.00010285326530612234,5.149800038337707,0.008623135495788636
bn_n20_w12_dense_det.bif,20,dense,det,0.8,X10,1,0.7537411373831783,0.011138439178466797,0.7617285714285715,0.0010907487755102035,5.18614776134491,0.00798743404539326
bn_n20_w12_dense_det.bif,20,dense,det,0.9,X10,1,0.9354590458732078,0.010840654373168945,0.9351285714285715,2.5683469387755076e-05,5.138450360298156,0.00033047444463629727
bn_n20_w12_dense_det.bif,20,dense,det,1.0,X10,1,0.966544369591225,0.011314630508422852,0.9669428571428572,0.00014034367346938786,5.056212115287781,0.0003984875516321873
bn_n40_w12_dense_fuzzy.bif,40,dense,fuzzy,0.5,X6,1,0.5382593496680593,0.021465301513671875,0.5387714285714285,3.774775510204084e-05,9.830628371238708,0.0005120789033691286
bn_n40_w12_dense_fuzzy.bif,40,dense,fuzzy,0.6,X6,1,0.6014382412879092,0.024288654327392578,0.6025714285714286,6.705306122448956e-05,9.76507227420807,0.0011331872835194101
bn_n40_w12_dense_fuzzy.bif,40,dense,fuzzy,0.7,X6,1,0.7367899308117081,0.021649837493896484,0.7346571428571428,0.00010185795918367336,9.736850714683532,0.002132787954565285
bn_n40_w12_dense_fuzzy.bif,40,dense,fuzzy,0.8,X6,1,0.7658145521731692,0.022693634033203125,0.7634714285714287,2.4530816326530455e-05,9.63496561050415,0.0023431236017404933
bn_n40_w12_dense_fuzzy.bif,40,dense,fuzzy,0.9,X6,1,0.8908002520326322,0.02228093147277832,0.8930857142857145,3.7723265306122236e-05,9.726239109039307,0.0022854622530822377
bn_n40_w12_dense_fuzzy.bif,40,dense,fuzzy,1.0,X6,1,0.9907097186085806,0.022781848907470703,0.9911,2.636938775510173e-06,9.577796792984008,0.0003902813914193892
bn_n40_w6_medium_fuzzy.bif,40,medium,fuzzy,0.5,X7,1,0.547802622515887,0.018435239791870117,0.5516714285714286,6.26002040816327e-05,8.301477241516114,0.0038688060555416293
bn_n40_w6_medium_fuzzy.bif,40,medium,fuzzy,0.6,X7,1,0.5962229445366258,0.01988387107849121,0.5941857142857143,5.448591836734694e-05,8.275004386901855,0.0020372302509115148
bn_n40_w6_medium_fuzzy.bif,40,medium,fuzzy,0.7,X7,1,0.7346091791272539,0.017686128616333008,0.7357142857142857,2.4448979591836616e-05,8.149912142753601,0.0011051065870317789
bn_n40_w6_medium_fuzzy.bif,40,medium,fuzzy,0.8,X7,1,0.7863341804407215,0.01715850830078125,0.7854285714285714,7.840816326530623e-06,8.120073580741883,0.0009056090121500882
bn_n40_w6_medium_fuzzy.bif,40,medium,fuzzy,0.9,X7,1,0.8824012177653064,0.019034862518310547,0.8828142857142856,2.4624693877550913e-05,8.165928626060486,0.0004130679489791067
bn_n40_w6_medium_fuzzy.bif,40,medium,fuzzy,1.0,X7,1,0.960316817810079,0.02057671546936035,0.9606,1.0133877551020384e-05,8.146475529670715,0.0002831821899209608
bn_n30_w6_medium_det.bif,30,medium,det,0.5,X1,1,0.509364414543355,0.013644695281982422,0.48150000000000004,0.04268606632653062,6.118608212471008,0.027864414543354976
bn_n30_w6_medium_det.bif,30,medium,det,0.6,X1,1,0.5958119026668347,0.01394200325012207,0.5941857142857143,0.00012825734693877583,6.0978775978088375,0.0016261883811203859
bn_n30_w6_medium_det.bif,30,medium,det,0.7,X1,1,0.7438933538992802,0.013332843780517578,0.7446142857142857,0.001683853265306122,6.088869214057922,0.0007209318150054322
bn_n30_w6_medium_det.bif,30,medium,det,0.8,X1,1,0.7932522056408979,0.01335597038269043,0.7944,0.0001213624489795915,6.241394734382629,0.0011477943591020612
bn_n30_w6_medium_det.bif,30,medium,det,0.9,X1,1,0.8525108079029194,0.013737201690673828,0.8492285714285716,0.00034905795918367276,6.120096111297608,0.0032822364743478882
bn_n30_w6_medium_det.bif,30,medium,det,1.0,X1,1,0.9768904223458635,0.013219594955444336,0.9810714285714285,0.0001406540816326531,6.110564112663269,0.004181006225564943
bn_n80_w2_sparse_det.bif,80,sparse,det,0.7,X14,1,0.7416969322681752,0.02742147445678711,0.7462571428571428,0.0019111706122448987,11.942064785957337,0.004560210588967606
bn_n80_w2_sparse_det.bif,80,sparse,det,0.9,X14,1,0.8565438754598832,0.02826094627380371,0.8673714285714287,0.0006508334693877557,12.140444231033324,0.010827553111545485
bn_n80_w2_sparse_det.bif,80,sparse,det,1.0,X14,1,0.9999985450255419,0.02795267105102539,1.0,0.0,11.800549507141113,1.454974458137137e-06
bn_n80_w2_sparse_fuzzy.bif,80,sparse,fuzzy,0.5,X1,1,0.4872229542211516,0.027296066284179688,0.4857571428571429,0.0001210124489795916,12.242863392829895,0.0014658113640086956
bn_n80_w2_sparse_fuzzy.bif,80,sparse,fuzzy,0.6,X1,1,0.5726160527490199,0.02666497230529785,0.5740999999999999,0.00026364918367346904,12.14404137134552,0.00148394725098
bn_n80_w2_sparse_fuzzy.bif,80,sparse,fuzzy,1.0,X1,1,1.0,0.027463197708129883,1.0,0.0,12.212583684921265,0.0
bn_n60_w12_dense_det.bif,60,dense,det,0.5,X25,1,0.5458762109101641,0.044806718826293945,0.49672857142857135,0.014310707959183674,14.03764624595642,0.049147639481592786
bn_n60_w12_dense_det.bif,60,dense,det,0.6,X25,1,0.6300185019116642,0.043178558349609375,0.6204,0.002257913469387754,13.753758597373963,0.009618501911664246
bn_n60_w12_dense_det.bif,60,dense,det,0.7,X25,1,0.7475581823208113,0.04068565368652344,0.7287571428571428,0.0008046859183673474,14.118354344367981,0.018801039463668512
bn_n60_w12_dense_det.bif,60,dense,det,0.8,X25,1,0.8286461104879762,0.045569419860839844,0.8359714285714286,0.0031438930612244878,13.994403982162476,0.007325318083452381
bn_n60_w12_dense_det.bif,60,dense,det,0.9,X25,1,0.9006257997181029,0.04197216033935547,0.9268714285714286,0.002411299795918367,13.90266773700714,0.02624562885332571
bn_n60_w12_dense_det.bif,60,dense,det,1.0,X25,1,0.9999999986632403,0.0436854362487793,1.0,0.0,14.039881372451783,1.3367597029301237e-09
bn_n10_w6_medium_fuzzy.bif,10,medium,fuzzy,0.5,X3,1,0.4865790260081957,0.005153179168701172,0.4868857142857143,3.200326530612248e-05,1.8348602056503296,0.0003066882775186186
bn_n10_w6_medium_fuzzy.bif,10,medium,fuzzy,0.6,X3,1,0.6322712176141729,0.0035512447357177734,0.6332857142857142,3.573877551020419e-05,1.754614567756653,0.0010144966715412984
bn_n10_w6_medium_fuzzy.bif,10,medium,fuzzy,0.7,X3,1,0.693456137314735,0.0036034584045410156,0.6934285714285714,6.049387755102052e-05,1.808473253250122,2.7565886163594122e-05
bn_n10_w6_medium_fuzzy.bif,10,medium,fuzzy,0.8,X3,1,0.7624207833204129,0.003631591796875,0.764257142857143,2.6848163265305976e-05,1.7985573530197143,0.0018363595367301144
bn_n10_w6_medium_fuzzy.bif,10,medium,fuzzy,0.9,X3,1,0.8825348400724811,0.0038650035858154297,0.8823000000000001,1.3328367346938806e-05,1.8172876358032226,0.0002348400724809796
bn_n10_w6_medium_fuzzy.bif,10,medium,fuzzy,1.0,X3,1,1.0,0.005399227142333984,1.0,0.0,1.7929397344589233,0.0
bn_n30_w12_dense_fuzzy.bif,30,dense,fuzzy,0.5,X1,1,0.5110196275265324,0.01720571517944336,0.5117285714285715,3.027530612244904e-05,7.456424593925476,0.0007089439020391275
bn_n30_w12_dense_fuzzy.bif,30,dense,fuzzy,0.6,X1,1,0.5648445741983603,0.016590595245361328,0.5630857142857143,3.883755102040812e-05,7.31572470664978,0.0017588599126460158
bn_n30_w12_dense_fuzzy.bif,30,dense,fuzzy,0.7,X1,1,0.6871726731750685,0.017105817794799805,0.6898000000000001,4.4274285714285804e-05,7.380408811569214,0.0026273268249316084
bn_n30_w12_dense_fuzzy.bif,30,dense,fuzzy,0.8,X1,1,0.767526483152567,0.018691539764404297,0.7687571428571428,3.274714285714287e-05,7.486088705062866,0.0012306597045758094
bn_n30_w12_dense_fuzzy.bif,30,dense,fuzzy,0.9,X1,1,0.9069135267197749,0.017010211944580078,0.9074285714285715,1.1506122448979587e-05,7.288569283485413,0.000515044708796597
bn_n30_w12_dense_fuzzy.bif,30,dense,fuzzy,1.0,X1,1,0.9532061406948039,0.01646590232849121,0.9546142857142857,6.726734693877441e-06,7.508234524726868,0.0014081450194818323
bn_n60_w6_medium_det.bif,60,medium,det,0.5,X39,1,0.5098766777186495,0.03049302101135254,0.5173714285714286,0.01058991102040816,11.995804238319398,0.007494750852779064
bn_n60_w6_medium_det.bif,60,medium,det,0.6,X39,1,0.5922722135015617,0.027483701705932617,0.6121857142857143,0.006895228775510204,12.069886517524719,0.01991350078415266
bn_n60_w6_medium_det.bif,60,medium,det,0.7,X39,1,0.7333444338303857,0.027275800704956055,0.7343,0.00032522632653061263,11.908571362495422,0.0009555661696142304
bn_n60_w6_medium_det.bif,60,medium,det,0.8,X39,1,0.8215116196491836,0.02939009666442871,0.8243714285714285,0.0007095559183673474,11.98358232975006,0.002859808922244911
bn_n60_w6_medium_det.bif,60,medium,det,0.9,X39,1,0.9493312858201048,0.02844381332397461,0.9547714285714285,0.0007016702040816329,12.097515273094178,0.005440142751323651
bn_n60_w6_medium_det.bif,60,medium,det,1.0,X39,1,0.9999999999999445,0.02953338623046875,1.0,0.0,11.925591301918029,5.551115123125783e-14
bn_n60_w2_sparse_det.bif,60,sparse,det,0.5,X10,1,0.4673131417903629,0.021422386169433594,0.46518571428571426,6.375938775510207e-05,9.086591053009034,0.0021274275046486157
bn_n60_w2_sparse_det.bif,60,sparse,det,0.8,X10,1,0.7814568310149129,0.021816730499267578,0.7843857142857142,7.954714285714345e-05,9.084470272064209,0.002928883270801319
bn_n60_w2_sparse_det.bif,60,sparse,det,0.9,X10,1,0.9335491701714029,0.0218813419342041,0.9375285714285713,4.487367346938767e-05,8.861135578155517,0.003979401257168336
bn_n60_w2_sparse_det.bif,60,sparse,det,1.0,X10,1,0.9558624015293586,0.020869731903076172,0.9554,2.690122448979585e-05,8.915361618995666,0.00046240152935861367
bn_n10_w2_sparse_det.bif,10,sparse,det,0.8,X3,1,0.8219781564651742,0.004591226577758789,0.8217857142857143,6.97479591836733e-05,1.6669260501861571,0.00019244217945990627
bn_n10_w2_sparse_det.bif,10,sparse,det,0.9,X3,1,0.912519739674547,0.0037343502044677734,0.9137857142857142,7.405102040816338e-06,1.6506957292556763,0.0012659746111671755
bn_n10_w2_sparse_det.bif,10,sparse,det,1.0,X3,1,0.9999994800855909,0.0036177635192871094,1.0,0.0,1.6640039205551147,5.199144090806129e-07
bn_n10_w6_medium_det.bif,10,medium,det,0.6,X5,1,0.6088062590661181,0.003965139389038086,0.6073999999999999,3.989306122448959e-05,1.986501932144165,0.0014062590661181318
bn_n10_w6_medium_det.bif,10,medium,det,0.7,X5,1,0.7468102109669406,0.004595756530761719,0.7476857142857143,5.4942040816326634e-05,1.929922604560852,0.0008755033187737293
bn_n10_w6_medium_det.bif,10,medium,det,0.8,X5,1,0.7839655249585056,0.004449605941772461,0.7838714285714286,3.583448979591822e-05,1.9719552755355836,9.409638707702506e-05
bn_n10_w6_medium_det.bif,10,medium,det,0.9,X5,1,0.8996150585004069,0.007224321365356445,0.9057000000000001,0.00027096510204081625,1.944743800163269,0.006084941499593155
bn_n10_w6_medium_det.bif,10,medium,det,1.0,X5,1,1.0,0.00428318977355957,1.0,0.0,1.9409289121627809,0.0
bn_n30_w12_dense_det.bif,30,dense,det,0.5,X3,1,0.5156932801959647,0.01751399040222168,1.0,0.0,7.837489819526672,0.4843067198040353
bn_n30_w12_dense_det.bif,30,dense,det,0.6,X3,1,0.6064284591205296,0.01695847511291504,0.6074428571428572,6.638551020408179e-05,7.735215377807617,0.0010143980223276117
bn_n30_w12_dense_det.bif,30,dense,det,0.7,X3,1,0.7297095503800249,0.017393827438354492,0.7276285714285714,6.134775510204089e-05,7.5951666831970215,0.002080978951453538
bn_n30_w12_dense_det.bif,30,dense,det,0.8,X3,1,0.7971142586259732,0.01607370376586914,0.8782714285714286,0.03879296918367347,7.802395272254944,0.08115716994545541
bn_n30_w12_dense_det.bif,30,dense,det,0.9,X3,1,0.8908157451851095,0.017149925231933594,0.842842857142857,0.007088005918367349,7.828032183647156,0.047972888042252526
bn_n30_w12_dense_det.bif,30,dense,det,1.0,X3,1,0.9627402298255368,0.01707172393798828,0.9625571428571428,0.0001789079591836732,7.7902016878128055,0.0001830869683939751
bn_n40_w6_medium_det.bif,40,medium,det,0.5,X23,1,0.5128350324194773,0.020676851272583008,0.5347999999999999,0.00781986612244898,7.853067922592163,0.021964967580522687
bn_n40_w6_medium_det.bif,40,medium,det,0.6,X23,1,0.5751143400061952,0.018334388732910156,0.5918857142857143,0.0024340685714285696,7.893296694755554,0.016771374279519136
bn_n40_w6_medium_det.bif,40,medium,det,0.7,X23,1,0.7403321832647555,0.019783973693847656,0.7070428571428572,0.004303657346938775,7.8527350425720215,0.03328932612189828
bn_n40_w6_medium_det.bif,40,medium,det,0.8,X23,1,0.7987766440199365,0.018166065216064453,0.7582571428571429,0.0253801706122449,7.731958270072937,0.04051950116279368
bn_n40_w6_medium_det.bif,40,medium,det,0.9,X23,1,0.8867026753039998,0.024492502212524414,0.8910714285714286,0.0004532704081632654,7.783312201499939,0.004368753267428804
bn_n40_w6_medium_det.bif,40,medium,det,1.0,X23,1,1.0,0.0176393985748291,1.0,0.0,7.7941090106964115,0.0
bn_n30_w2_sparse_det.bif,30,sparse,det,0.5,X18,1,0.5069709019292421,0.010201692581176758,0.5085285714285714,1.2477755102040863e-05,4.632899498939514,0.0015576694993293394
bn_n30_w2_sparse_det.bif,30,sparse,det,0.6,X18,1,0.6484862997242666,0.01040792465209961,0.6505714285714286,9.296326530612227e-05,4.537326741218567,0.0020851288471619434
bn_n30_w2_sparse_det.bif,30,sparse,det,0.7,X18,1,0.6610539566500946,0.00988006591796875,0.6628142857142857,6.553897959183707e-05,4.512566375732422,0.0017603290641911018
bn_n30_w2_sparse_det.bif,30,sparse,det,0.8,X18,1,0.7923872747483647,0.00902867317199707,0.7922571428571429,7.399102040816312e-05,4.582119250297547,0.00013013189122179636
bn_n30_w2_sparse_det.bif,30,sparse,det,0.9,X18,1,0.9269170369998888,0.009519100189208984,0.9285142857142856,1.9425306122449053e-05,4.533234095573425,0.001597248714396815
bn_n30_w2_sparse_det.bif,30,sparse,det,1.0,X18,1,0.9999999999999999,0.009759187698364258,1.0,0.0,4.621099328994751,1.1102230246251565e-16
bn_n30_w2_sparse_fuzzy.bif,30,sparse,fuzzy,0.5,X17,1,0.5380892766335028,0.015732765197753906,0.5399571428571428,2.5812448979592013e-05,4.535728287696839,0.0018678662236399912
bn_n30_w2_sparse_fuzzy.bif,30,sparse,fuzzy,0.6,X17,1,0.5910833775919164,0.010825395584106445,0.5872857142857143,3.053877551020422e-05,4.519361424446106,0.003797663306202126
bn_n30_w2_sparse_fuzzy.bif,30,sparse,fuzzy,0.7,X17,1,0.7429384452174387,0.01566791534423828,0.7447285714285715,3.848346938775512e-05,4.478788089752197,0.0017901262111328364
bn_n30_w2_sparse_fuzzy.bif,30,sparse,fuzzy,0.8,X17,1,0.8064043386592269,0.015057086944580078,0.8071000000000002,5.77226530612244e-05,4.483526039123535,0.000695661340773257
bn_n30_w2_sparse_fuzzy.bif,30,sparse,fuzzy,0.9,X17,1,0.8698150872919853,0.00997018814086914,0.8665571428571429,1.9295714285714327e-05,4.479612421989441,0.003257944434842397
bn_n30_w2_sparse_fuzzy.bif,30,sparse,fuzzy,1.0,X17,1,1.0,0.010642290115356445,1.0,0.0,4.531344151496887,0.0
bn_n10_w2_sparse_fuzzy.bif,10,sparse,fuzzy,0.7,X8,1,0.7032976734415778,0.0060272216796875,0.7029857142857143,9.724285714285727e-06,1.558386778831482,0.00031195915586346157
bn_n10_w2_sparse_fuzzy.bif,10,sparse,fuzzy,0.9,X8,1,0.8709995428980247,0.0035817623138427734,0.8729428571428572,1.8441632653061193e-05,1.5234999895095824,0.001943314244832517
bn_n10_w2_sparse_fuzzy.bif,10,sparse,fuzzy,1.0,X8,1,1.0,0.003939628601074219,1.0,0.0,1.5671198606491088,0.0
bn_n30_w6_medium_fuzzy.bif,30,medium,fuzzy,0.5,X6,1,0.4602074455101727,0.013309478759765625,0.46225714285714287,4.206040816326523e-05,6.199402499198913,0.002049697346970192
bn_n30_w6_medium_fuzzy.bif,30,medium,fuzzy,0.6,X6,1,0.6207845385939796,0.013735055923461914,0.6251714285714286,7.12155102040818e-05,6.09121162891388,0.00438688997744896
bn_n30_w6_medium_fuzzy.bif,30,medium,fuzzy,0.7,X6,1,0.6974324868172601,0.01360011100769043,0.6918857142857143,3.48889795918365e-05,6.15375165939331,0.005546772531545785
bn_n30_w6_medium_fuzzy.bif,30,medium,fuzzy,0.8,X6,1,0.8029722582600967,0.014404773712158203,0.8054,2.8023673469387773e-05,6.158483171463013,0.002427741739903344
bn_n30_w6_medium_fuzzy.bif,30,medium,fuzzy,0.9,X6,1,0.9426627238203787,0.013615846633911133,0.9452142857142857,2.099285714285711e-05,6.103995060920715,0.0025515618939069284
bn_n30_w6_medium_fuzzy.bif,30,medium,fuzzy,1.0,X6,1,0.962734199042123,0.014500617980957031,0.9617142857142857,6.644897959183619e-06,6.158562135696411,0.0010199133278372408
bn_n80_w6_medium_fuzzy.bif,80,medium,fuzzy,0.5,X28,1,0.5473417357638936,0.04806637763977051,0.5399571428571429,0.00018492265306122466,16.00481972694397,0.007384592906750642
bn_n80_w6_medium_fuzzy.bif,80,medium,fuzzy,0.6,X28,1,0.5989090929723064,0.06114697456359863,0.6048,0.00012991102040816306,15.816504883766175,0.0058909070276935704
bn_n80_w6_medium_fuzzy.bif,80,medium,fuzzy,0.7,X28,1,0.7250783520707759,0.06448817253112793,0.7257,0.00013281408163265314,16.01444556713104,0.000621647929224145
bn_n80_w6_medium_fuzzy.bif,80,medium,fuzzy,0.8,X28,1,0.8417371640215929,0.05956864356994629,0.8458571428571429,4.31428571428568e-05,16.00101704597473,0.004119978835549931
bn_n80_w6_medium_fuzzy.bif,80,medium,fuzzy,0.9,X28,1,0.9065010334449531,0.05817389488220215,0.9064857142857143,3.007020408163269e-05,16.18504993915558,1.531915923880245e-05
bn_n80_w6_medium_fuzzy.bif,80,medium,fuzzy,1.0,X28,1,0.9940917336745856,0.043419599533081055,0.9943714285714285,5.885714285714385e-07,16.073884701728822,0.00027969489684287474
bn_n20_w2_sparse_fuzzy.bif,20,sparse,fuzzy,0.5,X13,1,0.4930100941957415,0.0077571868896484375,0.4931571428571429,2.3552857142857177e-05,3.037846899032593,0.0001470486614014166
bn_n20_w2_sparse_fuzzy.bif,20,sparse,fuzzy,0.7,X13,1,0.73227263938123,0.006380319595336914,0.7316714285714286,5.832857142857101e-06,3.1257789611816404,0.0006012108098013558
bn_n20_w2_sparse_fuzzy.bif,20,sparse,fuzzy,0.8,X13,1,0.8047469342580835,0.007650136947631836,0.801957142857143,1.4922653061224473e-05,3.019292974472046,0.002789791400940489
bn_n20_w2_sparse_fuzzy.bif,20,sparse,fuzzy,1.0,X13,1,1.0,0.006680488586425781,1.0,0.0,3.0093865394592285,0.0
bn_n50_w2_sparse_fuzzy.bif,50,sparse,fuzzy,0.5,X10,1,0.5185505355893352,0.025522470474243164,0.5179714285714285,0.00017953387755102024,7.886141538619995,0.0005791070179066438
bn_n50_w2_sparse_fuzzy.bif,50,sparse,fuzzy,0.6,X10,1,0.5979143447945945,0.01776576042175293,0.6005428571428572,5.6248163265306e-05,7.898168706893921,0.0026285123482626682
